epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,295.049,1.64124,0.81314,0.00302,0.79815,0.6757,0.73048,0.41873,1.594,0.74309,0.00456,0.000321705,0.000321705,0.000321705
64,299.507,1.62323,0.80133,0.003,0.76758,0.68821,0.73499,0.41818,1.59757,0.73696,0.00457,0.000313458,0.000313458,0.000313458
65,304.001,1.63379,0.81364,0.003,0.77839,0.67955,0.73039,0.42063,1.59152,0.73965,0.00454,0.000305211,0.000305211,0.000305211
66,308.462,1.62466,0.80614,0.00296,0.76467,0.68302,0.72154,0.41249,1.59584,0.75678,0.00452,0.000296964,0.000296964,0.000296964
67,312.967,1.63309,0.80318,0.0029,0.78446,0.66628,0.72143,0.41519,1.59361,0.74356,0.00452,0.000288718,0.000288718,0.000288718
68,317.454,1.63754,0.80838,0.00297,0.81174,0.65622,0.72115,0.40978,1.59804,0.74449,0.00455,0.000280471,0.000280471,0.000280471
69,321.92,1.62571,0.80226,0.00296,0.79023,0.69274,0.72936,0.41654,1.60216,0.73587,0.00455,0.000272224,0.000272224,0.000272224
70,326.459,1.61324,0.79197,0.00292,0.82101,0.67036,0.73155,0.41272,1.60969,0.72623,0.00461,0.000263978,0.000263978,0.000263978
71,330.94,1.62375,0.79664,0.00292,0.80726,0.66708,0.72056,0.41159,1.60618,0.73229,0.00457,0.000255731,0.000255731,0.000255731
72,335.39,1.61873,0.78297,0.00291,0.77609,0.6914,0.72864,0.41569,1.60455,0.73418,0.00456,0.000247484,0.000247484,0.000247484
73,339.846,1.61759,0.78312,0.00296,0.75959,0.69894,0.72156,0.41541,1.60348,0.72836,0.00456,0.000239238,0.000239238,0.000239238
74,344.321,1.6302,0.78801,0.00299,0.78024,0.68896,0.72438,0.41732,1.60652,0.73221,0.00459,0.000230991,0.000230991,0.000230991
75,348.817,1.61968,0.78161,0.00296,0.75144,0.69655,0.72293,0.41667,1.60265,0.72106,0.00455,0.000222744,0.000222744,0.000222744
